"Participant","pair","condition","ACC","RT","reward"
"P02",1,"N",1,0.733139221966,1
"P02",2,"N",1,0.566506864558,1
"P02",1,"N",1,0.583186884408,1
"P02",1,"N",1,0.549882919054,1
"P02",1,"N",1,0.63316582307,0
"P02",1,"N",1,0.766492455753,1
"P02",1,"N",1,0.549880597284,1
"P02",1,"N",1,0.549876771778,1
"P02",3,"N",1,0.883075012406,0
"P02",2,"N",1,0.733139194899,0
"P02",3,"N",1,0.949722912437,0
"P02",2,"N",1,0.666519907971,0
"P02",2,"N",1,0.566547185756,0
"P02",2,"N",0,0.68315909836,0
"P02",1,"N",1,0.699832582969,1
"P02",1,"N",1,0.616482082976,1
"P02",2,"N",1,0.71648086495,1
"P02",3,"N",1,0.933056299905,1
"P02",1,"N",1,0.816454979624,1
"P02",3,"N",1,0.666433428069,1
"P02",3,"N",0,0.583192364025,0
"P02",3,"N",1,0.599848161682,1
"P02",3,"N",1,0.449911787793,1
"P02",3,"N",1,0.583183335589,0
"P02",1,"N",1,0.566540993369,1
"P02",3,"N",1,0.533212835897,0
"P02",2,"N",1,0.616494927896,1
"P02",2,"N",1,0.51650948106,0
"P02",3,"N",0,0.883086485917,0
"P02",2,"N",1,0.633178267996,1
"P02",2,"N",1,0.533221437272,0
"P02",3,"N",1,0.533198063187,1
"P02",2,"N",1,0.649818640321,1
"P02",3,"N",1,0.649835322777,1
"P02",2,"N",1,0.699813127622,1
"P02",1,"N",1,0.933080341649,1
"P02",1,"N",1,0.783123348521,1
"P02",3,"N",1,0.733116175697,0
"P02",3,"N",1,0.566479953685,0
"P02",2,"N",1,0.58306681704,1
"P02",1,"N",1,0.68313515887,0
"P02",3,"N",0,0.849759134449,0
"P02",3,"N",1,1.14966483211,1
"P02",2,"N",1,0.649816814785,1
"P02",3,"N",0,0.983052041322,0
"P02",2,"N",1,0.616615870438,1
"P02",3,"N",1,0.666468444084,0
"P02",1,"N",1,0.749799212042,1
"P02",2,"N",1,0.699809846468,0
"P02",2,"N",1,0.666493183561,1
"P02",2,"N",1,0.533202896197,0
"P02",1,"N",1,0.63319257154,1
"P02",2,"N",1,0.683143994827,1
"P02",3,"N",1,0.833109947219,1
"P02",1,"N",1,0.766451439828,0
"P02",3,"N",1,0.733105574352,0
"P02",2,"N",1,0.69981356972,1
"P02",2,"N",1,0.583117050871,1
"P02",2,"N",1,0.583197320341,1
"P02",1,"N",1,0.683145206839,1
"P02",3,"N",1,0.683208429949,1
"P02",2,"N",1,0.583199163922,0
"P02",1,"N",1,0.616556842754,0
"P02",3,"N",1,0.682982012301,1
"P02",3,"N",1,0.633066789973,0
"P02",1,"N",1,0.583204423993,0
